code	billable	short_desc	long_desc	three_digit	major	sub_chapter	chapter	ICD_MAJOR	ICD_FORMATTED	ICD_lower	concat	system	organ	histology_0	histology_1	histology_2
C8524	TRUE	Mediastnl large B-cell lymph, nodes of axilla and upper limb	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of axilla and upper limb	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.24	c8524	c8524 mediastinal thymic large b cell lymphoma lymph nodes of axilla malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	mediastinum	lymphoma	b-cell	
C8525	TRUE	Mediastnl lg B-cell lymph, nodes of ing rgn and lower limb	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of inguinal region and lower limb	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.25	c8525	c8525 mediastinal thymic large b cell lymphoma lymph nodes of inguinal region malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	mediastinum	lymphoma	b-cell	
C8526	TRUE	Mediastinal (thymic) large B-cell lymphoma, intrapelv nodes	Mediastinal (thymic) large B-cell lymphoma, intrapelvic lymph nodes	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.26	c8526	c8526 mediastinal thymic large b cell lymphoma intrapelvic lymph nodes malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	mediastinum	lymphoma	b-cell	
C8527	TRUE	Mediastinal (thymic) large B-cell lymphoma, spleen	Mediastinal (thymic) large B-cell lymphoma, spleen	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.27	c8527	c8527 mediastinal thymic large b cell lymphoma spleen malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	mediastinum	lymphoma	b-cell	
C8528	TRUE	Mediastinal (thymic) large B-cell lymphoma, nodes mult site	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of multiple sites	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.28	c8528	c8528 mediastinal thymic large b cell lymphoma lymph nodes of multiple sites malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	mediastinum	lymphoma	b-cell	
C8529	TRUE	Mediastnl large B-cell lymph, extrnod and solid organ sites	Mediastinal (thymic) large B-cell lymphoma, extranodal and solid organ sites	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.29	c8529	c8529 mediastinal thymic large b cell lymphoma extranodal malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	mediastinum	lymphoma	b-cell	
C858	FALSE	Other specified types of non-Hodgkin lymphoma	Other specified types of non-Hodgkin lymphoma	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.8	c858	c858 other specified types of non hodgkin lymphoma malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	cns	lymphoma	non-hodgkin	oligo
C8580	TRUE	Oth types of non-Hodgkin lymphoma, unspecified site	Other specified types of non-Hodgkin lymphoma, unspecified site	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.80	c8580	c8580 other specified types of non hodgkin lymphoma unspecified site malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	cns	lymphoma	non-hodgkin	oligo
C8581	TRUE	Oth types of non-hodg lymph, nodes of head, face, and neck	Other specified types of non-Hodgkin lymphoma, lymph nodes of head, face, and neck	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.81	c8581	c8581 other specified types of non hodgkin lymphoma lymph nodes of head face malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	cns	lymphoma	non-hodgkin	oligo
C8582	TRUE	Oth types of non-Hodgkin lymphoma, intrathoracic lymph nodes	Other specified types of non-Hodgkin lymphoma, intrathoracic lymph nodes	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.82	c8582	c8582 other specified types of non hodgkin lymphoma intrathoracic lymph nodes malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	cns	lymphoma	non-hodgkin	oligo
C8583	TRUE	Oth types of non-Hodgkin lymphoma, intra-abd lymph nodes	Other specified types of non-Hodgkin lymphoma, intra-abdominal lymph nodes	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.83	c8583	c8583 other specified types of non hodgkin lymphoma intra abdominal lymph nodes malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	cns	lymphoma	non-hodgkin	oligo
C8584	TRUE	Oth types of non-hodg lymph, nodes of axilla and upper limb	Other specified types of non-Hodgkin lymphoma, lymph nodes of axilla and upper limb	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.84	c8584	c8584 other specified types of non hodgkin lymphoma lymph nodes of axilla malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	cns	lymphoma	non-hodgkin	oligo
C8585	TRUE	Oth types of non-hodg lymph, nodes of ing rgn and lower limb	Other specified types of non-Hodgkin lymphoma, lymph nodes of inguinal region and lower limb	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.85	c8585	c8585 other specified types of non hodgkin lymphoma lymph nodes of inguinal region malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	cns	lymphoma	non-hodgkin	oligo
C8586	TRUE	Oth types of non-Hodgkin lymphoma, intrapelvic lymph nodes	Other specified types of non-Hodgkin lymphoma, intrapelvic lymph nodes	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.86	c8586	c8586 other specified types of non hodgkin lymphoma intrapelvic lymph nodes malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	cns	lymphoma	non-hodgkin	oligo
C8587	TRUE	Other specified types of non-Hodgkin lymphoma, spleen	Other specified types of non-Hodgkin lymphoma, spleen	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.87	c8587	c8587 other specified types of non hodgkin lymphoma spleen malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	cns	lymphoma	non-hodgkin	oligo
C8588	TRUE	Oth types of non-Hodgkin lymphoma, lymph nodes mult site	Other specified types of non-Hodgkin lymphoma, lymph nodes of multiple sites	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.88	c8588	c8588 other specified types of non hodgkin lymphoma lymph nodes of multiple sites malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	cns	lymphoma	non-hodgkin	oligo
C8589	TRUE	Oth types of non-hodg lymph, extrnod and solid organ sites	Other specified types of non-Hodgkin lymphoma, extranodal and solid organ sites	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.89	c8589	c8589 other specified types of non hodgkin lymphoma extranodal malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	cns	lymphoma	non-hodgkin	oligo
C859	FALSE	Non-Hodgkin lymphoma, unspecified	Non-Hodgkin lymphoma, unspecified	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.9	c859	c859 non hodgkin lymphoma unspecified malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	cns	lymphoma	non-hodgkin	oligo
C8590	TRUE	Non-Hodgkin lymphoma, unspecified, unspecified site	Non-Hodgkin lymphoma, unspecified, unspecified site	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.90	c8590	c8590 non hodgkin lymphoma unspecified unspecified site malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	cns	lymphoma	non-hodgkin	oligo
C8591	TRUE	Non-Hodgkin lymphoma, unsp, nodes of head, face, and neck	Non-Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.91	c8591	c8591 non hodgkin lymphoma unspecified lymph nodes of head face malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	cns	lymphoma	non-hodgkin	oligo
C8592	TRUE	Non-Hodgkin lymphoma, unspecified, intrathoracic lymph nodes	Non-Hodgkin lymphoma, unspecified, intrathoracic lymph nodes	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.92	c8592	c8592 non hodgkin lymphoma unspecified intrathoracic lymph nodes malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	cns	lymphoma	non-hodgkin	oligo
C8593	TRUE	Non-Hodgkin lymphoma, unsp, intra-abdominal lymph nodes	Non-Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.93	c8593	c8593 non hodgkin lymphoma unspecified intra abdominal lymph nodes malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	cns	lymphoma	non-hodgkin	oligo
C8594	TRUE	Non-Hodgkin lymphoma, unsp, nodes of axilla and upper limb	Non-Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.94	c8594	c8594 non hodgkin lymphoma unspecified lymph nodes of axilla malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	cns	lymphoma	non-hodgkin	oligo
C8595	TRUE	Non-hodg lymphoma, unsp, nodes of ing region and lower limb	Non-Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.95	c8595	c8595 non hodgkin lymphoma unspecified lymph nodes of inguinal region malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	cns	lymphoma	non-hodgkin	oligo
C8596	TRUE	Non-Hodgkin lymphoma, unspecified, intrapelvic lymph nodes	Non-Hodgkin lymphoma, unspecified, intrapelvic lymph nodes	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.96	c8596	c8596 non hodgkin lymphoma unspecified intrapelvic lymph nodes malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	cns	lymphoma	non-hodgkin	oligo
C8597	TRUE	Non-Hodgkin lymphoma, unspecified, spleen	Non-Hodgkin lymphoma, unspecified, spleen	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.97	c8597	c8597 non hodgkin lymphoma unspecified spleen malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	cns	lymphoma	non-hodgkin	oligo
C8598	TRUE	Non-Hodgkin lymphoma, unsp, lymph nodes of multiple sites	Non-Hodgkin lymphoma, unspecified, lymph nodes of multiple sites	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.98	c8598	c8598 non hodgkin lymphoma unspecified lymph nodes of multiple sites malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	cns	lymphoma	non-hodgkin	oligo
C8599	TRUE	Non-Hodgkin lymphoma, unsp, extranodal and solid organ sites	Non-Hodgkin lymphoma, unspecified, extranodal and solid organ sites	C85	Oth and unspecified types of non-Hodgkin lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C85	C85.99	c8599	c8599 non hodgkin lymphoma unspecified extranodal malignant neoplasms of lymphoid hematopoietic oth	hematopoeitic	cns	lymphoma	non-hodgkin	oligo
C86	FALSE	Other specified types of T/NK-cell lymphoma	Other specified types of T/NK-cell lymphoma	C86	Other specified types of T/NK-cell lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C86	C86.	c86	c86 other specified types of t nk cell lymphoma malignant neoplasms of lymphoid hematopoietic other specified types of t nk cell lymphoma	hematopoeitic		lymphoma		
C860	TRUE	Extranodal NK/T-cell lymphoma, nasal type	Extranodal NK/T-cell lymphoma, nasal type	C86	Other specified types of T/NK-cell lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C86	C86.0	c860	c860 extranodal nk t cell lymphoma nasal type malignant neoplasms of lymphoid hematopoietic other specified types of t nk cell lymphoma	hematopoeitic		lymphoma		
C861	TRUE	Hepatosplenic T-cell lymphoma	Hepatosplenic T-cell lymphoma	C86	Other specified types of T/NK-cell lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C86	C86.1	c861	c861 hepatosplenic t cell lymphoma malignant neoplasms of lymphoid hematopoietic other specified types of t nk cell lymphoma	hematopoeitic	spleen	lymphoma		
C862	TRUE	Enteropathy-type (intestinal) T-cell lymphoma	Enteropathy-type (intestinal) T-cell lymphoma	C86	Other specified types of T/NK-cell lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C86	C86.2	c862	c862 enteropathy type intestinal t cell lymphoma malignant neoplasms of lymphoid hematopoietic other specified types of t nk cell lymphoma	hematopoeitic	intestine	lymphoma		
C863	TRUE	Subcutaneous panniculitis-like T-cell lymphoma	Subcutaneous panniculitis-like T-cell lymphoma	C86	Other specified types of T/NK-cell lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C86	C86.3	c863	c863 subcutaneous panniculitis like t cell lymphoma malignant neoplasms of lymphoid hematopoietic other specified types of t nk cell lymphoma	hematopoeitic	skin	lymphoma		
C864	TRUE	Blastic NK-cell lymphoma	Blastic NK-cell lymphoma	C86	Other specified types of T/NK-cell lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C86	C86.4	c864	c864 blastic nk cell lymphoma malignant neoplasms of lymphoid hematopoietic other specified types of t nk cell lymphoma	hematopoeitic		lymphoma		
C865	TRUE	Angioimmunoblastic T-cell lymphoma	Angioimmunoblastic T-cell lymphoma	C86	Other specified types of T/NK-cell lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C86	C86.5	c865	c865 angioimmunoblastic t cell lymphoma malignant neoplasms of lymphoid hematopoietic other specified types of t nk cell lymphoma	hematopoeitic		lymphoma		
C866	TRUE	Primary cutaneous CD30-positive T-cell proliferations	Primary cutaneous CD30-positive T-cell proliferations	C86	Other specified types of T/NK-cell lymphoma	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C86	C86.6	c866	c866 primary cutaneous cd30 positive t cell proliferations malignant neoplasms of lymphoid hematopoietic other specified types of t nk cell lymphoma	hematopoeitic	skin	lymphoma		
C88	FALSE	Malig immunoproliferative dis and certain oth B-cell lymph	Malignant immunoproliferative diseases and certain other B-cell lymphomas	C88	Malig immunoproliferative dis and certain oth B-cell lymph	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C88	C88.	c88	c88 malignant immunoproliferative diseases malignant neoplasms of lymphoid hematopoietic malig immunoproliferative dis	hematopoeitic				
C880	TRUE	Waldenstrom macroglobulinemia	Waldenstrom macroglobulinemia	C88	Malig immunoproliferative dis and certain oth B-cell lymph	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C88	C88.0	c880	c880 waldenstrom macroglobulinemia malignant neoplasms of lymphoid hematopoietic malig immunoproliferative dis	hematopoeitic	blood		b-cell	
C882	TRUE	Heavy chain disease	Heavy chain disease	C88	Malig immunoproliferative dis and certain oth B-cell lymph	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C88	C88.2	c882	c882 heavy chain disease malignant neoplasms of lymphoid hematopoietic malig immunoproliferative dis	hematopoeitic				
C883	TRUE	Immunoproliferative small intestinal disease	Immunoproliferative small intestinal disease	C88	Malig immunoproliferative dis and certain oth B-cell lymph	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C88	C88.3	c883	c883 immunoproliferative small intestinal disease malignant neoplasms of lymphoid hematopoietic malig immunoproliferative dis	hematopoeitic	intestine			
C884	TRUE	Extrnod mrgnl zn B-cell lymph of mucosa-assoc lymphoid tiss	Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma]	C88	Malig immunoproliferative dis and certain oth B-cell lymph	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C88	C88.4	c884	c884 extranodal marginal zone b cell lymphoma of mucosa associated lymphoid tissue malt lymphoma malignant neoplasms of lymphoid hematopoietic malig immunoproliferative dis	hematopoeitic		lymphoma	malt	
C888	TRUE	Other malignant immunoproliferative diseases	Other malignant immunoproliferative diseases	C88	Malig immunoproliferative dis and certain oth B-cell lymph	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C88	C88.8	c888	c888 other malignant immunoproliferative diseases malignant neoplasms of lymphoid hematopoietic malig immunoproliferative dis	hematopoeitic				
C889	TRUE	Malignant immunoproliferative disease, unspecified	Malignant immunoproliferative disease, unspecified	C88	Malig immunoproliferative dis and certain oth B-cell lymph	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C88	C88.9	c889	c889 malignant immunoproliferative disease unspecified malignant neoplasms of lymphoid hematopoietic malig immunoproliferative dis	hematopoeitic				
C90	FALSE	Multiple myeloma and malignant plasma cell neoplasms	Multiple myeloma and malignant plasma cell neoplasms	C90	Multiple myeloma and malignant plasma cell neoplasms	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C90	C90.	c90	c90 multiple myeloma malignant neoplasms of lymphoid hematopoietic multiple myeloma	hematopoeitic	bone marrow	myeloma	multiple	
C900	FALSE	Multiple myeloma	Multiple myeloma	C90	Multiple myeloma and malignant plasma cell neoplasms	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C90	C90.0	c900	c900 multiple myeloma malignant neoplasms of lymphoid hematopoietic multiple myeloma	hematopoeitic	bone marrow	myeloma	multiple	
C9000	TRUE	Multiple myeloma not having achieved remission	Multiple myeloma not having achieved remission	C90	Multiple myeloma and malignant plasma cell neoplasms	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C90	C90.00	c9000	c9000 multiple myeloma not having achieved remission malignant neoplasms of lymphoid hematopoietic multiple myeloma	hematopoeitic	bone marrow	myeloma	multiple	
C9001	TRUE	Multiple myeloma in remission	Multiple myeloma in remission	C90	Multiple myeloma and malignant plasma cell neoplasms	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C90	C90.01	c9001	c9001 multiple myeloma in remission malignant neoplasms of lymphoid hematopoietic multiple myeloma	hematopoeitic	bone marrow	myeloma	multiple	
C9002	TRUE	Multiple myeloma in relapse	Multiple myeloma in relapse	C90	Multiple myeloma and malignant plasma cell neoplasms	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C90	C90.02	c9002	c9002 multiple myeloma in relapse malignant neoplasms of lymphoid hematopoietic multiple myeloma	hematopoeitic	bone marrow	myeloma	multiple	
C901	FALSE	Plasma cell leukemia	Plasma cell leukemia	C90	Multiple myeloma and malignant plasma cell neoplasms	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C90	C90.1	c901	c901 plasma cell leukemia malignant neoplasms of lymphoid hematopoietic multiple myeloma	hematopoeitic	bone marrow	myeloma	multiple	
C9010	TRUE	Plasma cell leukemia not having achieved remission	Plasma cell leukemia not having achieved remission	C90	Multiple myeloma and malignant plasma cell neoplasms	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C90	C90.10	c9010	c9010 plasma cell leukemia not having achieved remission malignant neoplasms of lymphoid hematopoietic multiple myeloma	hematopoeitic	bone marrow	myeloma	multiple	
C9011	TRUE	Plasma cell leukemia in remission	Plasma cell leukemia in remission	C90	Multiple myeloma and malignant plasma cell neoplasms	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C90	C90.11	c9011	c9011 plasma cell leukemia in remission malignant neoplasms of lymphoid hematopoietic multiple myeloma	hematopoeitic	bone marrow	myeloma	multiple	
C9012	TRUE	Plasma cell leukemia in relapse	Plasma cell leukemia in relapse	C90	Multiple myeloma and malignant plasma cell neoplasms	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C90	C90.12	c9012	c9012 plasma cell leukemia in relapse malignant neoplasms of lymphoid hematopoietic multiple myeloma	hematopoeitic	bone marrow	myeloma	multiple	
C902	FALSE	Extramedullary plasmacytoma	Extramedullary plasmacytoma	C90	Multiple myeloma and malignant plasma cell neoplasms	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C90	C90.2	c902	c902 extramedullary plasmacytoma malignant neoplasms of lymphoid hematopoietic multiple myeloma	hematopoeitic	bone marrow	myeloma	multiple	
C9020	TRUE	Extramedullary plasmacytoma not having achieved remission	Extramedullary plasmacytoma not having achieved remission	C90	Multiple myeloma and malignant plasma cell neoplasms	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C90	C90.20	c9020	c9020 extramedullary plasmacytoma not having achieved remission malignant neoplasms of lymphoid hematopoietic multiple myeloma	hematopoeitic	bone marrow	myeloma	multiple	
C9021	TRUE	Extramedullary plasmacytoma in remission	Extramedullary plasmacytoma in remission	C90	Multiple myeloma and malignant plasma cell neoplasms	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C90	C90.21	c9021	c9021 extramedullary plasmacytoma in remission malignant neoplasms of lymphoid hematopoietic multiple myeloma	hematopoeitic	bone marrow	myeloma	multiple	
C9022	TRUE	Extramedullary plasmacytoma in relapse	Extramedullary plasmacytoma in relapse	C90	Multiple myeloma and malignant plasma cell neoplasms	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C90	C90.22	c9022	c9022 extramedullary plasmacytoma in relapse malignant neoplasms of lymphoid hematopoietic multiple myeloma	hematopoeitic	bone marrow	myeloma	multiple	
C903	FALSE	Solitary plasmacytoma	Solitary plasmacytoma	C90	Multiple myeloma and malignant plasma cell neoplasms	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C90	C90.3	c903	c903 solitary plasmacytoma malignant neoplasms of lymphoid hematopoietic multiple myeloma	hematopoeitic	bone marrow	myeloma	multiple	
C9030	TRUE	Solitary plasmacytoma not having achieved remission	Solitary plasmacytoma not having achieved remission	C90	Multiple myeloma and malignant plasma cell neoplasms	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C90	C90.30	c9030	c9030 solitary plasmacytoma not having achieved remission malignant neoplasms of lymphoid hematopoietic multiple myeloma	hematopoeitic	bone marrow	myeloma	multiple	
C9031	TRUE	Solitary plasmacytoma in remission	Solitary plasmacytoma in remission	C90	Multiple myeloma and malignant plasma cell neoplasms	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C90	C90.31	c9031	c9031 solitary plasmacytoma in remission malignant neoplasms of lymphoid hematopoietic multiple myeloma	hematopoeitic	bone marrow	myeloma	multiple	
C9032	TRUE	Solitary plasmacytoma in relapse	Solitary plasmacytoma in relapse	C90	Multiple myeloma and malignant plasma cell neoplasms	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C90	C90.32	c9032	c9032 solitary plasmacytoma in relapse malignant neoplasms of lymphoid hematopoietic multiple myeloma	hematopoeitic	bone marrow	myeloma	multiple	
C91	FALSE	Lymphoid leukemia	Lymphoid leukemia	C91	Lymphoid leukemia	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C91	C91.	c91	c91 lymphoid leukemia malignant neoplasms of lymphoid hematopoietic lymphoid leukemia	hematopoeitic	blood	leukemia		
C910	FALSE	Acute lymphoblastic leukemia [ALL]	Acute lymphoblastic leukemia [ALL]	C91	Lymphoid leukemia	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C91	C91.0	c910	c910 acute lymphoblastic leukemia all malignant neoplasms of lymphoid hematopoietic lymphoid leukemia	hematopoeitic	blood	leukemia	blastic	lympho
C9100	TRUE	Acute lymphoblastic leukemia not having achieved remission	Acute lymphoblastic leukemia not having achieved remission	C91	Lymphoid leukemia	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C91	C91.00	c9100	c9100 acute lymphoblastic leukemia not having achieved remission malignant neoplasms of lymphoid hematopoietic lymphoid leukemia	hematopoeitic	blood	leukemia	blastic	lympho
C9101	TRUE	Acute lymphoblastic leukemia, in remission	Acute lymphoblastic leukemia, in remission	C91	Lymphoid leukemia	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C91	C91.01	c9101	c9101 acute lymphoblastic leukemia in remission malignant neoplasms of lymphoid hematopoietic lymphoid leukemia	hematopoeitic	blood	leukemia	blastic	lympho
C9102	TRUE	Acute lymphoblastic leukemia, in relapse	Acute lymphoblastic leukemia, in relapse	C91	Lymphoid leukemia	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C91	C91.02	c9102	c9102 acute lymphoblastic leukemia in relapse malignant neoplasms of lymphoid hematopoietic lymphoid leukemia	hematopoeitic	blood	leukemia	blastic	lympho
C911	FALSE	Chronic lymphocytic leukemia of B-cell type	Chronic lymphocytic leukemia of B-cell type	C91	Lymphoid leukemia	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C91	C91.1	c911	c911 chronic lymphocytic leukemia of b cell type malignant neoplasms of lymphoid hematopoietic lymphoid leukemia	hematopoeitic	blood	leukemia	b-cell	
C9110	TRUE	Chronic lymphocytic leuk of B-cell type not achieve remis	Chronic lymphocytic leukemia of B-cell type not having achieved remission	C91	Lymphoid leukemia	Malignant Neoplasms Of Lymphoid, Hematopoietic And Related Tissue	Neoplasms	C91	C91.10	c9110	c9110 chronic lymphocytic leukemia of b cell type not having achieved remission malignant neoplasms of lymphoid hematopoietic lymphoid leukemia	hematopoeitic	blood	leukemia	b-cell	
